PROCESS_NAME	[FILL] means/a	ADJ/QUANTIFIER	ACTOR/WHO	QUANTIFIER/SCOPE	QUALIFIER	VERB	WHAT	[FILL] from	FROM	[FILL] into	INTO	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
break down	means					change		from	a whole	into	pieces									400d-d80d-09a3-3206	
boiling;evaporation	means		matter; a substance			changes		from	a liquid	into	a gas			by	increasing heat energy					a0b2-a45f-01e1-4bf4	
weathering; mechanical weathering	means					breaking down	rocks; surface materials	from	a larger whole 	into	smaller pieces			by	weather			# by weather to include mechanical forces/kinetic energy/...		791e-1c71-7a1d-d10a	
disguise	means 					changing	appearance					to	hide							ae70-e79a-1335-ece4	
photosynthesis	means		producers; green plants			convert		from	carbon dioxide and water and solar energy	into	carbohydrates and food and oxygen	for	themselves							0962-4a47-4e17-ce97	
decomposition	is when a		decomposer			breaks down	dead organisms													f0e5-d444-871d-9ea3	
breathing 	is when a		lung			converts		from	oxygen in air	into	oxygen in blood									f99f-c36a-d00d-742d	
breathing	is when a		gill			converts		from	oxygen in water	into	oxygen in blood							# do we need a "for agent" (e.g. for fish) column?		571a-0a31-ad7b-e097	
breathing	is when		animals			convert			oxygen	into	carbon dioxide							#3216		4106-cc86-22ec-615e	
melting	means		matter; a substance			changes		from	a solid	into	a liquid			by	increasing heat energy					6abc-4443-f672-9a97	
freezing	means		matter; a substance			changes		from	a liquid	into	a solid			by	decreasing heat energy					f03c-decc-030f-b860	
condensing	means		matter; a substance			changes		from	a gas	into	a liquid			by	decreasing heat energy					2aba-39fa-3a07-5ee4	
sublimation	means		matter; a substance			changes		from	a gas	into	a solid			by	decreasing heat energy			#3397, #changed actor who from gas into matter/substance	incorrect -- replaced with 1613-c8b2-f818-85be	39c9-cdba-6e04-2d14	
cellular respiration	is when a		cell			converts		from	oxygen and carbohydrates	into	carbon dioxide, water, and energy									7272-bf77-2331-1b55	
			babies			develop		from	babies	into	adults							# Isn't used	Refactored into 1? (1) animals grow from babies to adults (life cycle of growth -- but we might already have this).  (2) PROTO-ANIMAL-MAT/IM columns.	4bd2-ea7f-6dec-3c54	
tearing	means					changing			a whole	into	pieces							into TWO pieces?		23d7-086d-e662-8fd4	
			electrical devices			convert		from	electrical energy; electricity	into	other forms of energy									5e4d-6ae2-e556-9200	
replace	means					change		from	one thing	into 	another							# Very abstract		c75e-3346-5e3e-1b26	
refraction	is when		light			bends												# "Changes direction" might make more sense.  Do we need a CHANGE-DIRECTION or CHANGE-SPATIAL table?		dc5d-599a-9815-c89b	
mechanical weathering	is when		rocks			are broken down								by	mechanical means 				Replace with 791e-1c71-7a1d-d10a	c387-e1db-3890-b003	
transpiration	is when		water vapor			moves		from	plants;leaves	into	the atmosphere							#PJ: Transfer?	Move to transfer table	03c0-59bd-bf14-aaa0	
shedding	is when an		animal			loses	hair;fur;skin												Move to CHANGE-VEC	7345-c073-962f-2597	
	a		light bulb			converts			electrical energy; electricity	into	light energy; light energy and heat energy					when it is turned on		# Scope needs to be decomposed? (too much info)		0259-62d6-90d1-5285	
glowing	means					producing	light												Wrong table, also not used	3b85-dd90-794d-80b6	
	a		solar panel			converts			sunlight; solar energy	into	electrical energy; electricity									bc35-178c-432b-77f5	
	an	incandescent	light bulb			converts			electrical energy; electricity	into	light energy and heat energy			by	sending electricity through a filament 			# through might need to be decomposed		536f-f053-aca7-9bed	
crumple	means					change	shape	from	smooth; flat	into	compacted;irregular			by	mechanical force; kinetic energy			# 591: Smooth -- could be anything (e.g. leaf), just SMOOTHER to start 		57f8-2232-d549-6dbc	
tearing	an		object			changes	that object's shape											#557		735e-0af2-549d-a69a	
		some	light bulbs			convert			electrical energy; electricity	into	light energy and heat energy								DEP -- replace directly with 0259-62d6-90d1-5285	7f24-876a-678f-6339	
killing	means					changing	a living thing	from	alive	to	dead			by	harming			# 817		ba9c-311b-f2d0-caa9	
		extreme	heat and pressure			change; metamorphose			rock	into	metamorphic rock							# 822		a029-482a-dd71-9829	
breaking down	an		object			changes	that object's shape and that object's mass											# 1302		9697-ac7b-6ca7-7421	
	a		filament			produces	light							by	becoming so hot that it glows			# 1217, belongs?	DEP -- move to SOURCEOF	e8a3-8aa3-fa7f-cb91	
	a		windmill			converts			wind energy	into	electrical energy; electricity			primarily by	using mechanical energy			STANDARDIZE "using mechanical energy" into "by using wind" (or something similar), then link with new SOURCEOF (wind, mechanical energy, for wind turbines)		d68e-b9c5-62d5-f63e	
seed dispersal	is when the		seeds	of a plant		are moved		from	the plant	to 	a new environment							#PJ: Transfer?	Move to transfer	2b90-a4f5-326a-d34f	
	the		digestive system			breaks down			food	into	nutrients	for 	the body					# Q 78		c154-aa1a-96fe-291c	
metamorphosis	is when an		amphibian; insect			changes		from 	an immature form	to	an adult form									fc9b-e584-5d83-bb7a	
			mining			changes	an ecosystem											#548	DEP -- add 'mining has a negative impact' to AFFECT table, and ideally also think of how to add a specific mining definition row somewhere (already have something in TRANSFER, but somewhat vague)	61ef-2bed-1bb3-4f10	
hunting	means		humans			kill	animals									in the wild		#548	DEP -- replace with 1593-f053-a8da-abc1	54ee-e44b-06a1-c4cf	
a phase change	is when		matter; a substance			changes		from	one state of matter	into	another state of matter									72bd-5535-598e-82e8	
			phase changes		do not	change	mass											# Q 665	Figure out how to handle change negatives before using this row	e6a7-0f6f-8904-60da	
condensation	is when		matter; a substance			changes		from	a gas	into	a liquid			by	decreasing heat energy			#764		2c44-c2fa-bff1-5946	
		some	flowers			become	fruits											#835	LOW QUALITY ROW -- refine	8fe8-675d-6005-472c	
	an		earthquake			changes	Earth's surface									quickly		# Q 666	Primarily used as a temporal relation	d08c-6817-560e-4660	
			farming			changes	the environment											#892	? See notes (refactor to change-vec?, and be more specific -- e.g. farming changes an environment by reducing animal habitats)	b6e6-07f0-9768-dc45	
	a		tadpole			changes		from 	a tadpole	into	a frog			through	metamorphosis			#1023	Moved this knowledge to PROTO-ANIMAL-MAT/IM	ac3a-0599-cef5-f015	
						changes			potential energy	into	kinetic energy			through	motion			Needs some thought	Not correct -- needs to be refactored	c9b6-9842-0512-9757	
	a		flashlight			converts			electrical energy; electricity	into	light energy							# Q 978	DEP -- decompose (see notes on inference patterns for electrical powered devices)	d2c1-85ff-d317-0612	
			moving			changes	position											Quite general, but should be okay since we don't handle spatial annotation very well right now		fe39-10c4-9dd9-d745	
			something	in a cold place		becomes	cold											#807	DEP -- replace with fa48-b603-26c3-49ea	3feb-296d-6a76-286f	
	a		heating element			converts			electrical energy; electricity	into	heat energy	for	heating					#1383		a4f3-2cdc-e2e8-292d	
			being buried	under soil and mud		changes			peat	into	coal			through	extreme heat and pressure	in a swamp over a long period of time		# Q 1137		b9b5-a8fe-7c6e-bde2	
			being buried	under soil and mud		changes			dead vegetation; dead plant matter	into	peat			through	extreme heat and pressure	in a swamp over a long period of time		# Q 1137		43e2-442b-4572-2279	
			being buried	under soil and mud		changes			dead plant matter; dead animal matter	into	oil; natural gas			through	extreme heat and pressure	at the bottom of the sea over a long period of time		Not sure if "at the bottom of the sea" is always true		1661-ce4a-34f0-7409	
	a		battery			converts			chemical energy	into	electrical energy	for	powering electrical devices					# Q 1162		e83b-d62e-d528-3e9f	
			moving			changes			potential energy; stored energy	into	kinetic energy and heat energy							# Q 1516		48d9-21f5-7bf4-c99e	
	a		internal combustion engine; car engine; automobile engine		usually	converts			fuel	into	kinetic energy and heat energy			through	combustion			# Q 1791		144d-b049-cabe-6198	
	a		doorbell			converts			electrical energy; electricity	into	sound energy							# Q 1904		c334-b118-4a5a-13dc	
			heat and pressure		can	change			the remains of living things	into	natural gas; oil; coal					over a long period of time		# Q 1959	DEP -- replaced by 1661-ce4a-34f0-7409	e239-f208-23e0-a9cb	
ecological succession	means	entire	communities	in an ecosystem		change										over time		OK -- but might need some refactoring to make more detailed		0ff9-ee4f-fb1b-1627	
			bees			convert			nectar	into	honey	for	food					#2108		a6ad-5582-fb3b-6c50	
			heat energy		can	change	the state of matter											Generic and underspecified, but OK		7909-f63c-46d1-01a2	
	the		phases	of the Moon		change	the appearance of the Moon													8987-49e2-b4bd-59bd	
	the	type of	material	through which sound passes		changes	the speed 									at which sound travels				35de-03a6-5a5e-50e6	
	a		generator			converts			kinetic energy	into	electrical energy; electricity							# Q 2205		8701-c9ad-84a9-d821	
	the	supply of	an inexhaustible resource	does not		change										over a long period of time		# Negation		9819-ae13-de40-e583	
		ocean	temperatures			change										slowly		#2305	Primarily used as a temporal relation	3b02-16c9-536d-36de	
	a		volcano			changes	the environment around it							by	covering the environment in ash					949b-2b44-b811-5b81	
	an		acid			changes	the color of litmus paper	from	blue	to	red							# Q 2281		4e74-99c7-4c67-6102	
	a		base			changes	the color of litmus paper	from	red	to	blue							# Q 2281		b7d9-92b2-49c6-726a	
	the		kinetic energy	of an object	can	change		from	kinetic energy	to	sound energy			by	hitting another object			# Q 2404		6555-b2fd-c866-08ac	
	a		drought		can	change	the color of an environment	from	green	to	brown							# Q 2414		9b65-3215-0384-875a	
			microbial fuel cells			convert			chemical energy	into	electrical energy							# Q 2422		7304-b7d4-acdd-7486	
			phase changes			change	the arrangement of molecules									in a substance; in a sample		# Q 2504		08c0-16d0-2d6d-8df7	
	an	electric	stove			changes			electrical energy	into	heat energy							# Q 2523	DEP -- see protocol for devices, also include a4f3-2cdc-e2e8-292d	5b6b-8d51-f9ee-15a3	
combustion	means		fire			converts			chemical energy	into	light energy and heat energy							# Q 2706		941b-2c2b-0aae-ee3a	
	an	automobile	engine			converts			chemical energy	into	mechanical energy and heat energy							#2676, #added heat energy 	DEP -- replace with 144d-b049-cabe-6198	f0cd-b7f6-bce4-9c6c	
	the	gravitational	force	of a planet; of a celestial object		does not change	the mass									of an object on that planet or celestial body		# Negation		e6db-88b1-24ea-e69f	
			bacteria	in soil		convert			atmospheric nitrogen	into	ammonia	for	plants					#2843		12bc-e9da-82da-8568	
			a fan			converts			electrical energy	into	mechanical energy; heat energy; sound energy							#2881, #mechanical energy -> kinetic/potential energy? 		b560-68a2-6ddb-ce23	
	a	deciduous tree's	leaves		usually	change	color									in the autumn season		#3001, #refactored/decomposed actor into separate rows		b16d-c878-d4ea-fe5f	
		a gasoline	lawn mower			converts			gasoline	into	kinetic energy; motion							#3089, #changed blade motion to kinetic energy	DEP to 144d-b049-cabe-6198	da10-c0ff-cdcc-35e7	
			a wildfire			changes	an ecosystem									drastically		#3189, #think about same line of thinking as farming, mining		d7f0-79fc-ed38-504f	
			a firecracker			converts			chemical energy	into	sound energy and light energy and heat energy							#3202, #changed ";" to and for into		e14a-e7b8-da48-8996	
			a radio			converts			electrical energy	into	vibrations; sound energy							#3247, #added sound energy	electrical device, replace with electrical device pattern (e.g. radio contains speaker, etc)	e415-b001-21ba-0215	
			speaker			converts			electrical energy; electricity	into	vibrations; sound energy							#3247, #added sound energy		d201-bf2c-27ec-14a0	
			hurricanes			convert			heat energy	into	mechanical energy							#3255, #specific only to one question, possible refactoring	Low quality/specific -- made for one question, that needs to break out this chain of inference	5259-b2d6-441d-4843	
			nuclear fusion			changes	the mass of nuclei												Move to CHANGE-VEC (and with fission line too?)	21f4-a6b6-0a58-bd1a	
sublimation	means		matter; a substance			changes		from	a solid	into	a gas			by	increasing heat energy			@7373		1613-c8b2-f818-85be	
desublimation; deposition	means		matter; a substance			changes		from	a gas	into	a solid			by	decreasing heat energy					3002-4c80-039d-2114	
metamorphosis of rocks	is when		rocks			change		from 	one type	into	another type			by 	extreme heat and pressure					30e6-16d1-5abe-2b83	
definite shape	means		the shape	of an object		stays	the same									when moved to different spot				31fa-7a0b-11b1-c0fa	
			weather			changes										from seasons to seasons				3fec-edd9-b5db-ff29	
			moving away	from the source		increases	the distance													2139-9134-1cc2-2c33	
			horizontal change	of motion	do not	change	the potential energy									of an object				80e4-a719-2ea2-3624	
stopping a moving object						changes	kinetic energy			into	potential energy									afa2-2d9f-9435-0d36	
			hydropower			converts	kinetic energy			into	electric energy									7dca-fb0b-9471-efd5	
			the potential energy	in fossil fuels	mostly	are converted into	thermal energy													66a3-8213-aabe-5609	
	a		greenhouse			converts	sunlight	from	radiation	into	thermal energy									f26c-fe95-6f4c-c4ba	
			wave action			changes	the shape of the beach							by	mechanical energy					d92c-f3a3-a65f-a7fb	
	a		heat engine			converts			heat energy	into	mechanical energy									6e6a-9e09-fc7c-fb89	
refraction						changes	the length and the direction of light													0536-2ba5-dcb0-06af	
			a power plant			converts	chemical energy	from	energy source	into	electricity									635a-5126-9cf1-4fe4	
			solar cells			convert	solar energy			into	electrical energy									66e0-20b6-da6c-8421	
the formation of lightning						converts	mechanical energy			into	electrical energy									a087-5c2c-b0d4-cb06	
